run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
0,1,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,4035,1500,1683,29,853,1501,171769,0.000,0,0,0,0.010567000
1,2,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3018,1130,1226,13,663,1131,130889,0.000,0,0,0,0.005669000
2,3,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1012,378,406,3,228,379,44311,0.000,0,0,0,0.000680000
3,4,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,847,319,341,3,187,320,36938,0.000,0,0,0,0.000488000
4,5,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,1929,733,817,9,379,734,81176,0.000,0,0,0,0.002298000
5,6,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2593,968,1075,14,550,969,110887,0.000,0,0,0,0.004014000
6,7,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1869,701,769,12,399,702,80373,0.000,0,0,0,0.002102000
7,8,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2895,1078,1193,20,624,1079,124319,0.000,0,0,0,0.005034000
8,9,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2097,785,850,3,462,786,91031,0.000,0,0,0,0.002691000
9,10,3,astar,list,manhattan,gcompare,200,0,0,ok,28,-1,23565,8859,10469,250,4237,8860,956081,0.000,0,0,0,0.386110000
10,11,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2029,758,829,6,442,759,87600,0.000,0,0,0,0.002463000
11,12,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2383,894,966,8,523,895,103441,0.000,0,0,0,0.003390000
12,13,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1649,617,667,5,365,618,71759,0.000,0,0,0,0.001670000
13,14,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1088,405,434,1,249,406,47742,0.000,0,0,0,0.000758000
14,15,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4721,1775,2007,48,939,1776,198195,0.000,0,0,0,0.015593000
15,16,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4450,1670,1849,24,931,1671,189873,0.000,0,0,0,0.013908000
16,17,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1511,572,618,8,321,573,65262,0.000,0,0,0,0.001404000
17,18,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,450,172,179,2,99,173,19783,0.000,0,0,0,0.000147000
18,19,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2191,820,921,15,451,821,92783,0.000,0,0,0,0.002748000
19,20,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3188,1195,1325,9,668,1196,135999,0.000,0,0,0,0.006235000
20,21,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3709,1386,1553,22,770,1387,157388,0.000,0,0,0,0.008944000
21,22,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,421,157,161,0,103,158,18980,0.000,0,0,0,0.000136000
22,23,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4078,1531,1720,24,827,1532,172207,0.000,0,0,0,0.011188000
23,24,3,astar,list,manhattan,gcompare,200,0,0,ok,16,-1,426,159,166,0,101,160,18980,0.000,0,0,0,0.000139000
24,25,3,astar,list,manhattan,gcompare,200,0,0,ok,28,-1,17698,6673,7682,169,3344,6674,731168,0.000,0,0,0,0.223652000
25,26,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2340,874,970,18,496,875,100083,0.000,0,0,0,0.003235000
26,27,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1010,377,400,6,233,378,44530,0.000,0,0,0,0.000674000
27,28,3,astar,list,manhattan,gcompare,200,0,0,ok,16,-1,357,132,140,1,85,133,15841,0.000,0,0,0,0.000100000
28,29,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,311,118,121,1,72,119,13870,0.000,0,0,0,0.000079000
29,30,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1228,461,499,3,268,462,53290,0.000,0,0,0,0.000930000
30,31,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,1794,678,738,9,378,679,77161,0.000,0,0,0,0.001951000
31,32,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,709,267,283,0,159,268,31171,0.000,0,0,0,0.000338000
32,33,3,astar,list,manhattan,gcompare,200,0,0,ok,28,-1,20222,7647,8968,249,3608,7648,821615,0.000,0,0,0,0.302616000
33,34,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,10069,3794,4260,81,2015,3795,424130,0.000,0,0,0,0.075403000
34,35,3,astar,list,manhattan,gcompare,200,0,0,ok,28,-1,30802,11578,13905,315,5320,11579,1233554,0.000,0,0,0,0.720128000
35,36,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2625,990,1088,12,547,991,112201,0.000,0,0,0,0.004082000
36,37,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1341,505,542,5,294,506,58327,0.000,0,0,0,0.001127000
37,38,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1961,732,785,8,444,733,85921,0.000,0,0,0,0.002346000
38,39,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,3780,1421,1551,22,809,1422,162790,0.000,0,0,0,0.009740000
39,40,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,440,163,175,0,102,164,19345,0.000,0,0,0,0.000145000
40,41,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,3172,1174,1305,14,693,1175,136291,0.000,0,0,0,0.006181000
41,42,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,8605,3227,3678,64,1700,3228,359744,0.000,0,0,0,0.057058000
42,43,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2056,768,835,15,453,769,89133,0.000,0,0,0,0.002547000
43,44,3,astar,list,manhattan,gcompare,200,0,0,ok,28,-1,31519,11840,14380,397,5299,11841,1251220,0.000,0,0,0,0.802832000
44,45,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,509,191,203,2,115,192,22338,0.000,0,0,0,0.000190000
45,46,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,1564,585,637,6,342,586,67744,0.000,0,0,0,0.001499000
46,47,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,492,184,196,2,112,185,21608,0.000,0,0,0,0.000172000
47,48,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,853,318,344,2,191,319,37157,0.000,0,0,0,0.000473000
48,49,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,6390,2415,2697,46,1278,2416,269589,0.000,0,0,0,0.030393000
49,50,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,5030,1917,2120,28,993,1918,212430,0.000,0,0,0,0.018343000
50,51,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,596,223,239,2,134,224,26061,0.000,0,0,0,0.000245000
51,52,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,763,287,301,0,175,288,33726,0.000,0,0,0,0.000405000
52,53,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,4499,1688,1882,32,929,1689,191114,0.000,0,0,0,0.015104000
53,54,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1566,582,632,9,352,583,68255,0.000,0,0,0,0.001496000
54,55,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,1040,385,413,0,242,386,45844,0.000,0,0,0,0.000687000
55,56,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,935,349,373,3,213,350,41026,0.000,0,0,0,0.000572000
56,57,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,5829,2189,2447,32,1193,2190,246886,0.000,0,0,0,0.025584000
57,58,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,13231,4972,5778,121,2482,4973,544142,0.000,0,0,0,0.155184000
58,59,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1215,451,492,9,272,452,52779,0.000,0,0,0,0.000926000
59,60,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,5118,1915,2141,13,1062,1916,217321,0.000,0,0,0,0.020384000
60,61,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1055,395,426,3,234,396,45917,0.000,0,0,0,0.000706000
61,62,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1221,455,495,4,271,456,52998,0.000,0,0,0,0.000945000
62,63,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,5674,2139,2372,36,1163,2140,241046,0.000,0,0,0,0.025509000
63,64,3,astar,list,manhattan,gcompare,200,0,0,ok,24,-1,6248,2340,2619,32,1289,2341,264990,0.000,0,0,0,0.027580000
64,65,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1106,415,449,4,242,416,47961,0.000,0,0,0,0.000787000
65,66,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,2254,841,933,12,480,842,96433,0.000,0,0,0,0.002973000
66,67,3,astar,list,manhattan,gcompare,200,0,0,ok,18,-1,1427,532,588,5,307,533,61320,0.000,0,0,0,0.001218000
67,68,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,8938,3352,3817,87,1769,3353,373906,0.000,0,0,0,0.064715000
68,69,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,2330,865,954,10,512,866,100521,0.000,0,0,0,0.003247000
69,70,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,8901,3349,3779,77,1775,3350,373979,0.000,0,0,0,0.058706000
70,71,3,astar,list,manhattan,gcompare,200,0,0,ok,22,-1,4893,1831,2031,20,1031,1832,208926,0.000,0,0,0,0.018201000
71,72,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,1840,689,746,6,405,690,79862,0.000,0,0,0,0.002041000
72,73,3,astar,list,manhattan,gcompare,200,0,0,ok,12,-1,50,18,17,0,15,19,2409,0.000,0,0,0,0.000005000
73,74,3,astar,list,manhattan,gcompare,200,0,0,ok,20,-1,989,369,405,11,215,370,42632,0.000,0,0,0,0.000630000
74,75,3,astar,list,manhattan,gcompare,200,0,0,ok,16,-1,396,148,154,0,94,149,17666,0.000,0,0,0,0.000120000
75,76,3,astar,list,manhattan,gcompare,200,0,0,ok,26,-1,8097,3054,3424,59,1619,3055,341129,0.000,0,0,0,0.053137000
