run,seed,size,algo,impl,heuristic,dup,shuffle,max_nodes,max_bytes,status,solution_len,optimal,generated,expanded,duplicates,improved,open_max,closed,bytes_peak,hash_probes,iterations,last_iter_generated,max_depth,seconds
0,1,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,20,-1,101,32,33,1,36,68,434184,0.340,0,0,0,0.000658000
1,2,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,10,-1,38,10,9,0,19,29,434184,0.243,0,0,0,0.000024000
2,3,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,18,-1,304,99,102,2,103,202,434184,0.370,0,0,0,0.000014000
3,4,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,8,-1,30,8,7,0,15,23,434184,0.241,0,0,0,0.000002000
4,5,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,18,-1,445,142,149,4,154,296,434184,0.423,0,0,0,0.000020000
5,6,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,16,-1,63,18,17,0,28,46,434184,0.274,0,0,0,0.000003000
6,7,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,20,-1,374,118,123,2,133,251,434184,0.359,0,0,0,0.000017000
7,8,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,20,-1,402,129,130,0,143,272,434184,0.384,0,0,0,0.000017000
8,9,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,20,-1,711,228,229,1,254,482,434184,0.451,0,0,0,0.000032000
9,10,4,astar,fast,manhattan,gcompare,20,0,536870912,ok,20,-1,125,40,41,1,44,84,434184,0.331,0,0,0,0.000006000
0,1,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,20,-1,52,33,0,0,20,0,640,0.000,1,52,19,0.000006000
1,2,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,10,-1,21,10,0,0,10,0,600,0.000,1,21,9,0.000000000
2,3,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,18,-1,478,238,0,0,18,0,632,0.000,3,303,17,0.000010000
3,4,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,8,-1,15,8,0,0,8,0,592,0.000,1,15,7,0.000001000
4,5,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,18,-1,489,231,0,0,18,0,632,0.000,3,319,17,0.000010000
5,6,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,16,-1,78,39,0,0,16,0,624,0.000,2,64,15,0.000001000
6,7,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,20,-1,845,402,0,0,20,0,640,0.000,5,542,19,0.000015000
7,8,4,ida,n/a,manhattan,gcompare,20,4000000000,0,ok,20,-1,410,202,0,0,20,0,640,0.000,4,310,19,0.000007000
